Date,date,tag
February 15,"February 15, 2022","color tools, writing a blog post"
February 14,"February 14, 2022",writing a blog post
February 10,"February 10, 2022","accessibility, maps"
February 9,"February 9, 2022",color user interviews
February 8,"February 8, 2022","color tools, writing a blog post"
February 7,"February 7, 2022","color tools, gave workshop"
February 3,"February 3, 2022",gave workshop
February 2,"February 2, 2022",figures
February 1,"February 1, 2022","figures, writing a blog post"
January 31,"January 31, 2022",figures
January 27,"January 27, 2022",nothing done
January 26,"January 26, 2022",compromises
January 25,"January 25, 2022",nothing done
January 24,"January 24, 2022",meanings of color
January 20,"January 20, 2022","bivariate maps, color tools, color user interviews, writing a Weekly Chart"
January 19,"January 19, 2022","book reading, writing a Weekly Chart"
January 18,"January 18, 2022","bivariate maps, data vis book club"
January 17,"January 17, 2022","color user interviews, data vis book club"
January 13,"January 13, 2022","book reading, color science, conference"
January 12,"January 12, 2022",writing a blog post
January 11,"January 11, 2022","color user interviews, style guide, writing on the book"
January 10,"January 10, 2022","color science, writing a blog post"
January 06,"January 6, 2022","color space, color tools, color user interviews"
January 05,"January 5, 2022","about these updates, writing a blog post"
January 04,"January 4, 2022","color user interviews, figures"
January 03,"January 3, 2022",about these updates
December 16,"December 16, 2021","accessibility, paper reading"
December 15,"December 15, 2021","color space, picking colors"
December 14,"December 14, 2021",color tools
December 13,"December 13, 2021","color user interviews, picking colors"
December 09,"December 9, 2021","color user interviews, schedule"
December 08,"December 8, 2021","about these updates, color user interviews"
December 07,"December 7, 2021","accessibility, writing a blog post"
December 06,"December 6, 2021","accessibility, writing a blog post"
December 02,"December 2, 2021","exercises, paper reading"
December 01,"December 1, 2021","color tools, paper reading"
November 30,"November 30, 2021",book structure
November 29,"November 29, 2021",color tools
November 25,"November 25, 2021",writing on the book
November 24,"November 24, 2021",book reading
November 23,"November 23, 2021",nothing done
November 22,"November 22, 2021","feedback, survey"
November 18,"November 18, 2021","color tools, survey"
November 17,"November 17, 2021",about these updates
,,
,,
